"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp"
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","64000350197590129963361793750546580468598377721844706760658153345851555940275","0xc06f4d5ff82f762e8c9ff7e02424f81e012176bc5a06fcc4e82d06b7d1451e8c",0.293522,1949.97785,-572.361398,0.0,"Bitcoin Up or Down - March 9, 6:45PM-6:50PM ET",btc-updown-5m-1773096300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773096300,Up,0,Down,"61045754733808378395038825502463579308030264590045074550570434503716924867372","2026-03-09T00:00:00Z",1773096825
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","61045754733808378395038825502463579308030264590045074550570434503716924867372","0xc06f4d5ff82f762e8c9ff7e02424f81e012176bc5a06fcc4e82d06b7d1451e8c",0.655358,2203.463643,759.406116,1.0,"Bitcoin Up or Down - March 9, 6:45PM-6:50PM ET",btc-updown-5m-1773096300,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773096300,Down,1,Up,"64000350197590129963361793750546580468598377721844706760658153345851555940275","2026-03-09T00:00:00Z",1773096825
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","95382576286154426749066133645595029673638222812854708949175295828166622361439","0xc477265d920861e9c579c8d342ec223e95dcabee415c7ad88edb3ea0fb9e6e7d",0.550496,988.6033910000001,444.381178,1.0,"Bitcoin Up or Down - March 9, 6:40PM-6:45PM ET",btc-updown-5m-1773096000,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773096000,Up,0,Down,"14837591819140045057294240324430637954592125121223935006466631774545253475016","2026-03-09T00:00:00Z",1773096525
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","14837591819140045057294240324430637954592125121223935006466631774545253475016","0xc477265d920861e9c579c8d342ec223e95dcabee415c7ad88edb3ea0fb9e6e7d",0.42015800000000003,1554.924159,-653.313824,0.0,"Bitcoin Up or Down - March 9, 6:40PM-6:45PM ET",btc-updown-5m-1773096000,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773096000,Down,1,Up,"95382576286154426749066133645595029673638222812854708949175295828166622361439","2026-03-09T00:00:00Z",1773096525
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","89350838152596513532418473423871931304663032383140813821466402523064429374553","0xa93b7d4fa9a0caa3de7ae09ca634d15230347e501051b04d603b44de9b66b9ce",0.193556,3247.270565,-628.528701,0.0,"Bitcoin Up or Down - March 9, 6:35PM-6:40PM ET",btc-updown-5m-1773095700,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773095700,Up,0,Down,"106116598006634303508237088881337797744233402942572863497589221322257136847416","2026-03-09T00:00:00Z",1773096225
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","106116598006634303508237088881337797744233402942572863497589221322257136847416","0xa93b7d4fa9a0caa3de7ae09ca634d15230347e501051b04d603b44de9b66b9ce",0.7850999999999999,3734.499738,802.543993,1.0,"Bitcoin Up or Down - March 9, 6:35PM-6:40PM ET",btc-updown-5m-1773095700,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773095700,Down,1,Up,"89350838152596513532418473423871931304663032383140813821466402523064429374553","2026-03-09T00:00:00Z",1773096225
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","91959192166935092858851949277080119104822160710350516912943729078300518955471","0x4158bd194eb6d73ab2469f1ac9cd8f9d5bea0809a76f6adc664aa0f116e6af84",0.452058,2995.524101,-1354.150634,0.0,"Bitcoin Up or Down - March 9, 6:30PM-6:35PM ET",btc-updown-5m-1773095400,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773095400,Down,1,Up,"35393659280624088463421450938149948948882889294819473744775703993621533197292","2026-03-09T00:00:00Z",1773095925
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","35393659280624088463421450938149948948882889294819473744775703993621533197292","0x4158bd194eb6d73ab2469f1ac9cd8f9d5bea0809a76f6adc664aa0f116e6af84",0.4661330000000001,3685.658805,1967.651609,1.0,"Bitcoin Up or Down - March 9, 6:30PM-6:35PM ET",btc-updown-5m-1773095400,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773095400,Up,0,Down,"91959192166935092858851949277080119104822160710350516912943729078300518955471","2026-03-09T00:00:00Z",1773095925
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","90055516380407182698052870650717055099864238940599426180296835516290838062357","0xbc3cfcfe9e027be3d835c4e7d0c59b22768df7b1d4fd50e9463b744854cb87eb",0.725396,2002.440262,549.878105,1.0,"Bitcoin Up or Down - March 9, 6:25PM-6:30PM ET",btc-updown-5m-1773095100,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773095100,Up,0,Down,"80377345441021994860372054091726288733881334217628236415622953641828886861543","2026-03-09T00:00:00Z",1773095625
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","80377345441021994860372054091726288733881334217628236415622953641828886861543","0xbc3cfcfe9e027be3d835c4e7d0c59b22768df7b1d4fd50e9463b744854cb87eb",0.275762,2157.893737,-595.065092,0.0,"Bitcoin Up or Down - March 9, 6:25PM-6:30PM ET",btc-updown-5m-1773095100,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773095100,Down,1,Up,"90055516380407182698052870650717055099864238940599426180296835516290838062357","2026-03-09T00:00:00Z",1773095625
